storage_location,quantity,notes,reorder_quantity,item_type,associated_pricing_item_ids,expiry_date,item_name,location_id,low_stock_threshold,unit,cost_per_unit,supplier,item_condition,sku,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"Lab Drawer #1","4","","","Product","[]","2025-11-30","Radiesse","69593d53c98b3add2b7ee76e","4","syringes","","","unopened","","active","696fccbef1999ff096a216e6","2026-01-20T18:43:10.325000","2026-02-02T04:24:22.901000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab Drawer #1","3","","","Supply","[]","2026-07-31","Kysse","69593d53c98b3add2b7ee76e","2","syringe","","Galderma","unopened","","active","696fcb9cd26052efff4c5bee","2026-01-20T18:38:20.149000","2026-01-20T18:42:01.453000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Supply","[]","","Semaglutide","69593d53c98b3add2b7ee770","1","vials","","RX Compound","opened","","active","696fc68ff63a3a396ced793c","2026-01-20T18:16:47.776000","2026-01-20T18:16:47.776000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fillers","2","","","Medication","","2026-08-31","Defyne","69593d53c98b3add2b7ee76e","10","syringes","","","unopened","","active","69690b3c2acef97513bc2981","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","L-Carnitine","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2985","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","2","","","Supply","","","Aquaphor","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc29a6","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fillers","3","","","Medication","","2026-04-30","Defyne","69593d53c98b3add2b7ee76e","10","syringes","","","unopened","","active","69690b3c2acef97513bc297f","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 7","5","","","Supply","","","Face Masks","69593d53c98b3add2b7ee76e","10","bags","","","unopened","","active","69690b3c2acef97513bc29b3","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","1","","","Medication","","","Prednisone","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc297c","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 7","10","","","Supply","","","Eye Masks","69593d53c98b3add2b7ee76e","10","masks","","","unopened","","active","69690b3c2acef97513bc29b2","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Calcium","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2999","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Amino Blend","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2989","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","2026-03-12","Lipo/Mino","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2991","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.062000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","G-Peel 50","69593d53c98b3add2b7ee76e","10","dropper bottles","","","unopened","","active","69690b3c2acef97513bc29a8","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","G-Peel 30","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc29ab","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","2","","","Medication","","","B12","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc298d","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.232000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","P-Peel 20","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc29ad","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Medication","","2022-10-31","Nitrofurantoin","69593d53c98b3add2b7ee76e","10","bottles","","","opened","","active","69690b3c2acef97513bc299c","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fillers","4","","","Medication","","2026-10-31","Contour","69593d53c98b3add2b7ee76e","10","syringes","","","unopened","","active","69690b3c2acef97513bc297d","2026-01-15T15:43:56.091000","2026-01-20T18:32:55.474000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 7","4","","","Supply","","","Exact (Micro-needling) heads","69593d53c98b3add2b7ee76e","10","heads","","","unopened","","active","69690b3c2acef97513bc29b1","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","0","","","Medication","","","Biotin","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2992","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.047000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","2","","","Supply","","2026-11-30","DermaPak Kits","69593d53c98b3add2b7ee76e","10","kits","","","unopened","","active","69690b3c2acef97513bc299d","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","P-Peel 40","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc29ae","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","2","","","Supply","","","Rubbing Alcohol","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc29a2","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","2","","","Supply","","","Hydrogen Peroxide","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc29a3","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Biotin","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2993","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","4","","","Medication","","2026-08-31","Zofran Injection","69593d53c98b3add2b7ee76e","10","vials","","","unopened","","active","69690b3c2acef97513bc299f","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Amino Blend","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc298a","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 7","2","","","Supply","","","Deep (Micro-needling) heads","69593d53c98b3add2b7ee76e","10","heads","","","unopened","","active","69690b3c2acef97513bc29b0","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fillers","2","","","Medication","","2027-07-31","Lyft","69593d53c98b3add2b7ee76e","10","syringes","","","unopened","","active","69690b3c2acef97513bc297e","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","2024-07-20","Mineral Blend","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2988","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.111000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","S-Peel 20","69593d53c98b3add2b7ee76e","10","dropper bottles","","","unopened","","active","69690b3c2acef97513bc29aa","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","0","","","Medication","","","Magnesium Chloride","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2994","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.243000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","J-Peel Delicate","69593d53c98b3add2b7ee76e","10","dropper bottles","","","unopened","","active","69690b3c2acef97513bc29a9","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Medication","","2025-05-31","Ibuprofen","69593d53c98b3add2b7ee76e","10","bottles","","","opened","","active","69690b3c2acef97513bc299b","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","2","","","Medication","","","Anastrozole","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc297b","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","1","","","Medication","","","Valacyclovir","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc297a","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
