test_name,test_code,tube_type,specimen_type,collection_instructions,storage_requirements,volume_required,quest_url,category,notes,diagnosis_codes,panel_ids,is_favorite,id,created_date,updated_date,created_by_id,created_by,is_sample
"Insulin-Like Growth Factor 1 (IGF-1)","16293","Gold-top SST","Serum","Collect blood in a plain red (no gel) or gold (SST) top tube. For red-top tube (no gel), allow blood to clot (10-15 minutes) at room temperature. Separate serum from cells and refrigerate.","Ambient: 48 hours; Refrigerated: 7 days; Frozen: 60 days","1 mL serum","https://testdirectory.questdiagnostics.com/test/test-detail/16293","Hormone","Avoid testing during acute illness as levels may be temporarily affected.","[""E34.9"",""E05.90"",""R73.9"",""Z00.00"",""R63.5""]","","false","6985f6dac37f95beaa913686","2026-02-06T14:12:42.036000","2026-02-06T14:12:42.036000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Rheumatoid Factor","4418","Red-top","Serum","Collect 1-2 mL of blood in a red-top tube (no additive).","Room temperature: 5 days; Refrigerated: 7 days; Frozen: 90 days.","1 mL serum","https://testdirectory.questdiagnostics.com/test/test-detail/4418","Immunology","Elevated RF levels can indicate rheumatoid arthritis and other autoimmune conditions.","[""M05.79"",""M06.9"",""M05.00"",""M06.00"",""R68.84""]","[""6981ed48f28335a88e4a0b81""]","false","6981ee2808d68fe85d4615a3","2026-02-03T12:46:32.692000","2026-02-03T12:48:39.601000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Uric Acid, Serum","905","Gold-top SST","Serum","Collect blood in a gold-top SST tube. Allow the specimen to clot for 30 minutes at room temperature. Centrifuge to separate serum from cells.","Store serum at room temperature for up to 7 days. For longer storage, refrigerate at 2-8°C for up to 14 days or freeze at -20°C for up to 6 months.","1 mL serum","https://testdirectory.questdiagnostics.com/test/test-detail/905","Chemistry","Ensure the specimen is not hemolyzed, as this can affect test results.","[]","[""6981ed48f28335a88e4a0b81""]","false","6981ee1aff11f1a020122ba2","2026-02-03T12:46:18.418000","2026-02-03T12:48:42.959000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cortisol, Free and Total, LC/MS/MS","37077","Red-top","Serum","Collect 1 mL (0.5 mL minimum) serum in each of two separate red-top tubes (no gel).","Transport refrigerated. Room temperature: 48 hours; Refrigerated: 7 days; Frozen: 1 year.","1 mL (0.5 mL minimum) per tube","https://testdirectory.questdiagnostics.com/test/test-detail/37077","Endocrinology","Gross hemolysis; serum separator tube; received room temperature are unacceptable.","[]","","false","6981ee00085a7cf88550de1c","2026-02-03T12:45:52.321000","2026-02-03T12:45:52.321000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"C-Reactive Protein (CRP)","4420","Gold-top SST","Serum","Collect 1 mL of blood in a serum separator tube (SST). Allow the blood to clot at room temperature for 30 minutes, then centrifuge to separate the serum.","Store serum at room temperature for up to 7 days, refrigerated for up to 7 days, or frozen for up to 30 days.","1 mL","https://testdirectory.questdiagnostics.com/test/test-detail/4420","Immunology","Elevated CRP levels may indicate inflammation due to conditions such as bacterial infections, rheumatic fever, active arthritis, myocardial infarction, malignancies, and postoperative states. This test cannot detect small elevations of CRP associated with increased cardiovascular risk.","[]","[""6981ed48f28335a88e4a0b81""]","false","6981edf231413cbe38240005","2026-02-03T12:45:38.613000","2026-02-03T12:49:48.424000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"ESR; Sedimentation Rate by Modified Westergren","809","Lavender-top EDTA","Whole blood","Collect blood in a lavender-top EDTA tube. Invert gently to mix.","Store at room temperature. Do not refrigerate.","1 mL","https://testdirectory.questdiagnostics.com/test/test-detail/809","Hematology","Perform the test within 4 hours of collection for optimal results.","[""R71.0"",""R50.9"",""D89.9"",""M79.1"",""M05.9""]","[""6981ed48f28335a88e4a0b81""]","false","6981ede4fc35d37e0cd3e704","2026-02-03T12:45:24.589000","2026-02-03T12:48:59.549000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Comprehensive Metabolic Panel (CMP-14)","10231","Gold-top SST","Serum","Fasting specimen is preferred","Room temperature; stable for 72 hours","1 mL","https://testdirectory.questdiagnostics.com/test/test-detail/10231","Chemistry","Administration of STRENSIQ may interfere in certain assays and may falsely elevate values. For patients receiving STRENSIQ, consideration should be given to using alternate methods.","[""E11.9"",""I10"",""R73.9"",""E87.6"",""Z00.00""]","[""6981ed48f28335a88e4a0b81""]","false","6981edb2442182a0efde86ba","2026-02-03T12:44:34.824000","2026-02-03T12:44:57.448000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Complete Blood Count (CBC) with Differential and Platelets","6399","Lavender-top EDTA","Whole blood","Maintain specimen at room temperature. Do not refrigerate. If multiple draws are performed, collect EDTA (lavender-top) tube last.","Room temperature; do not refrigerate.","1 mL whole blood EDTA tube","https://testdirectory.questdiagnostics.com/test/test-detail/6399/cbc-includes-differential-and-platelets","Hematology","If abnormal cells are noted on a manual review of the peripheral blood smear or if the automated differential information meets specific criteria, a full manual differential will be performed.","[]","[""6981ed48f28335a88e4a0b81""]","false","6981eda0ac34829de04441c9","2026-02-03T12:44:16.047000","2026-02-03T12:45:02.256000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cardio IQ® Advanced Lipid Panel","92145","Gold-top SST","Blood","Fasting for at least 10-12 hours is required.","Room Temperature 24 hours; Refrigerated 7 days; Frozen 28 days","4 mL","https://testdirectory.questdiagnostics.com/test/test-detail/92145","Chemistry","This test provides a comprehensive assessment of cardiovascular disease risk by measuring various lipid fractions and particle sizes.","[""E78.5"",""I25.10"",""I10"",""Z13.6"",""R63.5""]","","false","696dd1c9c348813e175c2aa6","2026-01-19T06:40:09.838000","2026-01-19T06:40:09.838000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Sex Hormone Binding Globulin (SHBG)","30740","Red-top","Serum","Collect 1-2 mL blood in a red-top tube (no additive).","Room temperature: 7 days; Refrigerated: 7 days; Frozen: 28 days.","0.7 mL serum","https://testdirectory.questdiagnostics.com/test/test-detail/30740","Endocrinology","Avoid hemolysis. Dietary supplements containing biotin may interfere in assays and may skew analyte results to be either falsely high or falsely low. For patients receiving the recommended daily doses of biotin, draw samples at least 8 hours following the last biotin supplementation. For patients on mega-doses of biotin supplements, draw samples at least 72 hours following the last biotin supplementation. Administration of STRENSIQ may interfere in certain assays and may falsely elevate values. For patients receiving STRENSIQ, consideration should be given to using alternate methods.","[""E34.9"",""E28.9"",""E29.1"",""R79.89"",""R53.81""]","[""696dc6ebd41b88f9922e0cf8""]","false","696dcfdfb11d185ff4bee443","2026-01-19T06:31:59.917000","2026-01-19T06:32:11.150000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
