document_name,document_url,file_urls,category,description,file_type,is_favorite,tags,id,created_date,updated_date,created_by_id,created_by,is_sample
"Narcotic Count Sheet ","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/f8ac02af4_Narcinventorysheet12326.pdf","[""https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/f8ac02af4_Narcinventorysheet12326.pdf""]","General","","application/pdf","false","[]","6974f7ea0d9f2f5cb5454311","2026-01-24T16:48:42.490000","2026-01-24T16:48:42.490000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Novasure Checklist","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/065e301b5_NovasureChecklist.pdf","[""https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/065e301b5_NovasureChecklist.pdf""]","Forms","","application/pdf","false","[""Novasure""]","6973f64f15fe42a548b77892","2026-01-23T22:29:35.286000","2026-01-23T22:29:35.286000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Novasure Pre-Op Form ","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/df60c7eae_NovasurePreOpforms.pdf","","Forms","","application/pdf","false","[""Novasure""]","6973e531a00b6b22bc73b587","2026-01-23T21:16:33.575000","2026-01-24T16:56:27.331000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Red Cross Blood Donation Instructions ","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/f20cf5fcb_RedCrossBloodDonationInstructions.pdf","","Training","","application/pdf","false","","6973d53f10d53f901456caf8","2026-01-23T20:08:31.185000","2026-01-23T20:08:31.185000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Red Cross Blood Donation Slip","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/74cf418da_RedCrossBloodDonationSlip.pdf","","Forms","","application/pdf","false","","6973d4f4326310e3fe6053d0","2026-01-23T20:07:16.138000","2026-01-23T20:07:16.138000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"One Blood Donation Form ","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/e7e63a60b_OneBloodDonationForm.pdf","","Forms","","application/pdf","false","","6973d489e2379a1751dd117c","2026-01-23T20:05:29.876000","2026-01-23T20:05:29.876000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Mammogram and Pap Smear Record Request","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/b48b46a42_MammoYearlyRecordRelease1.pdf","","Forms","","application/pdf","false","","6973d39496373b0c1ad9f096","2026-01-23T20:01:24.722000","2026-01-23T20:01:24.722000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Record Release From Other to CHC","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/80a1ddf2b_AUTHORIZATIONTORELEASEHEALTHCAREUPDATED.pdf","","Forms","","application/pdf","false","","6973cb8151ad8dd8db6fdf74","2026-01-23T19:26:57.968000","2026-01-23T19:26:57.968000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Record Release From CHC to Other","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/72cc7f2e9_RECORDRELEASEFROMCHC2.pdf","","Forms","","application/pdf","false","","6973cb1582bf947ce0780b1b","2026-01-23T19:25:09.756000","2026-01-23T19:25:09.756000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"ADHD Form ","https://base44.app/api/apps/695939a556b8082002a35a68/files/public/695939a556b8082002a35a68/5b5782350_NewADHDForm.pdf","","Forms","","application/pdf","false","","6973c8b5f5ead7da2bf8256b","2026-01-23T19:15:01.095000","2026-01-23T19:15:01.095000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
