clinic_location_ids,is_favorite,taxable,item_type,name,description,categories,area_based,pricing_tiers,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","false","true","Product","Elemis Resurfacing Facial Pads","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 67.00, ""sessions"": 1}]","active","698024c6e96036f2f04509ee","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Peel & Reset","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 122.00, ""sessions"": 1}]","active","698024c6e96036f2f04509ed","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Japanese Camelia Body Oil Blend","","[""Elemis Body Care""]","false","[{""tier_name"": ""Standard"", ""price"": 65.00, ""sessions"": 1}]","active","698024c6e96036f2f04509f1","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Revitalise Me Hand and Body Wash","","[""Elemis Body Care""]","false","[{""tier_name"": ""Standard"", ""price"": 46.00, ""sessions"": 1}]","active","698024c6e96036f2f04509f3","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Facial Wash","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 57.00, ""sessions"": 1}]","active","698024c6e96036f2f04509eb","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Super-C Serum","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 145.00, ""sessions"": 1}]","active","698024c6e96036f2f04509ef","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Gel Mask","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 88.00, ""sessions"": 1}]","active","698024c6e96036f2f04509ec","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Mayfair No. 9 Hand & Body Lotion","","[""Elemis Body Care""]","false","[{""tier_name"": ""Standard"", ""price"": 40.00, ""sessions"": 1}]","active","698024c6e96036f2f04509f0","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Revitalise Me Hand & Body Lotion","","[""Elemis Body Care""]","false","[{""tier_name"": ""Standard"", ""price"": 35.00, ""sessions"": 1}]","active","698024c6e96036f2f04509f2","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Superfood Midnight Facial","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 62.00, ""sessions"": 1}]","active","698024c6e96036f2f04509f4","2026-02-02T04:15:02.021000","2026-02-02T04:15:02.021000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Vitality Eye Cream","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 115.00, ""sessions"": 1}]","active","698024c6e96036f2f04509e2","2026-02-02T04:15:02.020000","2026-02-02T04:15:02.020000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Marine Cream SPF 30, 100ML","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 255.00, ""sessions"": 1}]","active","698024c6e96036f2f04509e4","2026-02-02T04:15:02.020000","2026-02-02T04:15:02.020000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Skin Protection Fluid SPF 50","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 70.00, ""sessions"": 1}]","active","698024c6e96036f2f04509e0","2026-02-02T04:15:02.020000","2026-02-02T04:15:02.020000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Marine Cream SPF 30, 50 ML","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 140.00, ""sessions"": 1}]","active","698024c6e96036f2f04509e3","2026-02-02T04:15:02.020000","2026-02-02T04:15:02.020000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"[]","false","true","Product","Elemis Night Genius","","[""Elemis Skincare"",""Elemis""]","false","[{""tier_name"":""Standard"",""price"":340,""sessions"":1,""unit_type"":""sessions""}]","active","698024c6e96036f2f04509e6","2026-02-02T04:15:02.020000","2026-02-02T04:18:41.105000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Cleansing Balm","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 69.00, ""sessions"": 1}]","active","698024c6e96036f2f04509e1","2026-02-02T04:15:02.020000","2026-02-02T04:15:02.020000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"","false","true","Product","Elemis Aqua Infusion Mask","","[""Elemis Skincare""]","false","[{""tier_name"": ""Standard"", ""price"": 205.00, ""sessions"": 1}]","active","698024c6e96036f2f04509e5","2026-02-02T04:15:02.020000","2026-02-02T04:15:02.020000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
